LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,1.0,1836000.0,1.0,2080800.0,993600.0,1551600.0
利益,101224169,,,以上・以下,以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,1198660.0,0.0,1168390.0,672389.0,771067.0
,,,,稼働率, 0.0%,65.3%, 0.0%,56.2%,67.7%,49.7%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,400.0,37651.0,,37651.0,,7.5,,7.5,3.5259411,
F3×10（西原）,400.0,,,,,7.5,12.0,,3.5259411,
普3×10（東原）,1163.0,,,,7.5,,10.2857,,3.5259411,10.0
12普3×6(西新）,697.0,354.0,,354.0,,12.0,,11.25,6.0,
12普3×6化粧(西新）,715.0,,,,,12.0,,11.25,6.0,14.4
12F無塗装（西新）,704.0,29362.0,,29362.0,,7.5,,7.5,5.0,7.5
12F無塗装（西原）,704.0,,,,,7.5,12.0,,5.0,7.5
12F化粧（西新）,817.0,10823.0,,10823.0,,7.5,,7.5,5.0,8.0
12普及化粧（西新）,817.0,32712.0,,32712.0,,7.5,,7.5,5.0,8.0
12普及化粧（西原）,817.0,,,,,7.5,9.2307,,5.0,8.0
12普及化粧（東新）,817.0,,,,7.5,,,7.5,5.0,8.0
12普及化粧（東原）,817.0,,,,7.5,,9.2307,,5.0,8.0
12普及無塗装（西新）,704.0,6730.0,,6730.0,,7.5,,7.5,5.0,7.5
12普及無塗装（東原）,704.0,,,,7.5,,9.2307,,5.0,7.5
12高級リブ柄,817.0,,,,7.826,,10.0,,5.53846,7.5
12高級（東原）,1075.0,,,,7.843137255,,10.588235,,5.53846,8.0
15高級（東原）,1025.0,,,,10.0,,12.0,,6.0,12.0
16高級（東原）,1073.0,,,,18.0,,14.4,,5.142857,10.0
16F化粧（西新）,1138.0,8178.0,,8178.0,,10.0,,9.473684,5.142857,8.181818182
16F無塗装（西新）,1053.0,9685.0,,9685.0,,10.0,,9.473684,5.294,8.0
16F化粧（西原）,1138.0,,,,,10.0,12.86,,5.294,8.181818182
14F無塗装（西新）,1053.0,962.0,,962.0,,10.0,,9.473684,5.294,8.0
野地板（西新）,598.0,7394.0,,7394.0,,12.857,,14.4,5.53846,
野地板2M（西新）,598.0,,,,,12.0,,14.4,5.53846,
S1コタタキ（東原）,157.0,,,,8.57142,,10.0,,,
トンネル材,1.0,1.0,1.0,1.0,,8.0,,8.372,,10.0
型板,1.0,700.0,700.0,700.0,,45.0,,,,
